Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
2014-05-15,30.2,27,36,15,05,2014
2014-05-16,29.8,27,35,16,05,2014
2014-05-17,30,27,36,17,05,2014
2014-05-18,29.6,25,36,18,05,2014
2014-05-19,29.7,26,37,19,05,2014
2014-05-20,29.9,27,35,20,05,2014
2014-05-21,30.8,27,36,21,05,2014
2014-05-22,30.4,27,35,22,05,2014
2014-05-23,29.2,27,34,23,05,2014
2014-05-24,27.8,24,34,24,05,2014
2014-05-25,29.3,26,35,25,05,2014
2014-05-26,29.3,27,33,26,05,2014
2014-05-27,30.4,26,35,27,05,2014
2014-05-28,30.1,27,35,28,05,2014
2014-05-29,30.9,27,36,29,05,2014
2014-05-30,28.6,24,33,30,05,2014
2014-05-31,29.4,26,34,31,05,2014
2014-06-01,27.8,24,33,01,06,2014
2014-06-02,26.3,25,35,02,06,2014
2014-06-03,27.3,26,35,03,06,2014
2014-06-04,28.6,27,36,04,06,2014
2014-06-05,28.9,26,34,05,06,2014
2014-06-06,29.7,26,34,06,06,2014
2014-06-07,29.7,25,35,07,06,2014
2014-06-08,30.8,26,35,08,06,2014
2014-06-09,30.1,27,36,09,06,2014
2014-06-10,28.3,25,31,10,06,2014
2014-06-11,28.7,26,35,11,06,2014
2014-06-12,27.6,24,34,12,06,2014
2014-06-13,26.8,27,34,13,06,2014
2014-06-14,27,23,31,14,06,2014
2014-06-15,27.6,25,33,15,06,2014
2014-06-16,26.6,24,31,16,06,2014
2014-06-17,27.8,25,34,17,06,2014
2014-06-18,26.9,24,32,18,06,2014
2014-06-19,28.7,25,34,19,06,2014
2014-06-20,27.7,25,34,20,06,2014
2014-06-21,26.2,24,33,21,06,2014
2014-06-22,26.6,24,32,22,06,2014
2014-06-23,28.1,25,34,23,06,2014
2014-06-24,26.4,25,34,24,06,2014
2014-06-25,27.2,23,34,25,06,2014
2014-06-26,28.9,24,34,26,06,2014
2014-06-27,28.1,24,33,27,06,2014
2014-06-28,26.9,22,33,28,06,2014
2014-06-29,26.4,23,31,29,06,2014
2014-06-30,27.9,23,31,30,06,2014
2014-07-01,28.9,26,33,01,07,2014
