Date,Average Temperature,Minimum Temperature,Maximum Temperature,Day,Month,Year
4/1/2014,29.8,27,36,1,4,2014
4/2/2014,30.4,26,36,2,4,2014
4/3/2014,30.7,27,34,3,4,2014
4/4/2014,29.4,27,35,4,4,2014
4/5/2014,29.6,27,35,5,4,2014
4/6/2014,28.7,24,36,6,4,2014
4/7/2014,27.6,24,32,7,4,2014
4/8/2014,27.9,25,33,8,4,2014
4/9/2014,29.8,25,36,9,4,2014
4/10/2014,29.4,27,34,10,4,2014
4/11/2014,29.1,27,35,11,4,2014
4/12/2014,29.4,26,35,12,4,2014
4/13/2014,29.8,27,34,13,4,2014
4/14/2014,29.4,27,35,14,4,2014
4/15/2014,28.4,26,33,15,4,2014
4/16/2014,28.6,25,35,16,4,2014
4/17/2014,29.4,26,34,17,4,2014
4/18/2014,29.6,27,35,18,4,2014
4/19/2014,30.2,26,34,19,4,2014
4/20/2014,30.1,26,33,20,4,2014
4/21/2014,30.4,27,34,21,4,2014
4/22/2014,29.7,27,35,22,4,2014
4/23/2014,30.9,26,34,23,4,2014
4/24/2014,30.6,28,35,24,4,2014
4/25/2014,30.6,26,37,25,4,2014
4/26/2014,30.6,24,34,26,4,2014
4/27/2014,31.1,24,31,27,4,2014
4/28/2014,28.9,27,34,28,4,2014
4/29/2014,27.8,24,34,29,4,2014
4/30/2014,26.8,24,31,30,4,2014
5/1/2014,28.8,25,33,1,5,2014
5/2/2014,27.2,26,34,2,5,2014
5/3/2014,28.6,24,34,3,5,2014
5/4/2014,30.1,25,36,4,5,2014
5/5/2014,30.9,27,36,5,5,2014
5/6/2014,31.3,25,36,6,5,2014
5/7/2014,30.1,26,37,7,5,2014
5/8/2014,30.4,26,34,8,5,2014
5/9/2014,30.6,26,35,9,5,2014
5/10/2014,30,26,34,10,5,2014
5/11/2014,30.6,24,34,11,5,2014
5/12/2014,28.6,27,35,12,5,2014
5/13/2014,31.3,25,36,13,5,2014
5/14/2014,30.5,28,36,14,5,2014
5/15/2014,30.2,27,36,15,5,2014
5/16/2014,29.8,27,35,16,5,2014
5/17/2014,30,27,36,17,5,2014
5/18/2014,29.6,25,36,18,5,2014
5/19/2014,29.7,26,37,19,5,2014
5/20/2014,29.9,27,35,20,5,2014
5/21/2014,30.8,27,36,21,5,2014
5/22/2014,30.4,27,35,22,5,2014
5/23/2014,29.2,27,34,23,5,2014
5/24/2014,27.8,24,34,24,5,2014
5/25/2014,29.3,26,35,25,5,2014
5/26/2014,29.3,27,33,26,5,2014
5/27/2014,30.4,26,35,27,5,2014
5/28/2014,30.1,27,35,28,5,2014
5/29/2014,30.9,27,36,29,5,2014
5/30/2014,28.6,24,33,30,5,2014
5/31/2014,29.4,26,34,31,5,2014
6/1/2014,27.8,24,33,1,6,2014
6/2/2014,26.3,25,35,2,6,2014
6/3/2014,27.3,26,35,3,6,2014
6/4/2014,28.6,27,36,4,6,2014
6/5/2014,28.9,26,34,5,6,2014
6/6/2014,29.7,26,34,6,6,2014
6/7/2014,29.7,25,35,7,6,2014
6/8/2014,30.8,26,35,8,6,2014
6/9/2014,30.1,27,36,9,6,2014
6/10/2014,28.3,25,31,10,6,2014
6/11/2014,28.7,26,35,11,6,2014
6/12/2014,27.6,24,34,12,6,2014
6/13/2014,26.8,27,34,13,6,2014
6/14/2014,27,23,31,14,6,2014
6/15/2014,27.6,25,33,15,6,2014
6/16/2014,26.6,24,31,16,6,2014
6/17/2014,27.8,25,34,17,6,2014
6/18/2014,26.9,24,32,18,6,2014
6/19/2014,28.7,25,34,19,6,2014
6/20/2014,27.7,25,34,20,6,2014
6/21/2014,26.2,24,33,21,6,2014
6/22/2014,26.6,24,32,22,6,2014
6/23/2014,28.1,25,34,23,6,2014
6/24/2014,26.4,25,34,24,6,2014
